"tmpID","ResidenceHHGenderDescription","EthnicDescription","BroadEthnicGroupings","PresenceOfChildrenCode","ISPSA","HomeOwnerRenter","MosaicZ4","MedianEducationYears","NetWorth","Investor","BusinessOwner","Education","OccupationIndustry","HorseOwner","CatOwner","DogOwner","OtherPetOwner","HomeOffice","BookBuyerInHome","UpscaleBuyerInHome","BuyerofAntiquesinHousehold","BuyerofArtinHousehold","GeneralCollectorinHousehold","BooksAudioReadinginHousehold","ComputerOwnerInHome","ReligiousContributorInHome","PoliticalContributerInHome","DonatesEnvironmentCauseInHome","DonatesToCharityInHome","DonatestoAnimalWelfare","DonatestoArtsandCulture","DonatestoChildrensCauses","DonatestoHealthcare","DonatestoInternationalAidCauses","DonatestoVeteransCauses","DonatestoHealthcare1","DonatestoInternationalAidCauses1","DonatestoWildlifePreservation","DonatestoLocalCommunity","FirstName","LastName","Gender","Age","TelephonesFullPhone","lat","lon","county","city","state","fips","stateFips","HomePurchasePrice","LandValue","DwellingUnitSize","storeVisitFrequency","PropertyType","EstHomeValue","FamilyMagazineInHome","FemaleOrientedMagazineInHome","ReligiousMagazineInHome","GardeningMagazineInHome","CulinaryInterestMagazineInHome","HealthFitnessMagazineInHome","DoItYourselfMagazineInHome","FinancialMagazineInHome","InterestinCurrentAffairsPoliticsInHousehold","PartiesDescription","ReligionsDescription","LikelyUnionMember","GunOwner","Veteran","supportsAffordableCareAct","supportsGayMarriage","supportsGunControl","supportsTaxesRaise","overallsocialviews","DonatestoConservativeCauses","DonatestoLiberalCauses"
268,"Mixed Gender Household","Dutch (Netherlands)","Scots","Not Likely to have a child",8,"Likely Homeowner","",15,"$100000-249999","Yes","","Some College - Likely","Unknown","","","","","Yes","","","","","Yes","","Yes","","","Unknown","Yes","","","","","","","","","","","Christian","Huel","M",86.7805878332194,"(247)-157-6971",35.57662,-118.25174,"Kern County","Woolstalf Creek","California",6029,"6","$305000","$14000","5-9",6,"Residential","$312600","","","","","","","","","","Republican","","","Unknown","Unknown","","","","","","",""
428,"Male Only Household","English/Welsh","Irish","Not Likely to have a child",7,"Likely Renter","Family Fun-tastic",12,"","Yes","","Grad Degree - Extremely Likely","Unknown","","","","","","","1 upscale merchandise purchase ","","","","","Yes","1 religious contribution  in home","","Unknown","Yes","","","","","","","","","","","Verena","Wolf","M",40.9897470950103,"(417)-491-9541",48.84614,-105.43861,"Daniels County","Scobey","Montana",30019,"30","","$16000","1-Single Family Dwelling",7,"Apartment/Group Living","$166911","3 family-oriented magazine purchases","","","","","3 health and fitness magazine purchases","","5 financial magazine purchases","","Republican","Protestant","","Unknown","Unknown","","","","","","",""
2551,"Mixed Gender Household","English/Welsh","English/Welsh","Known Data",6,"Likely Homeowner","",13,"$250000-499999","","","Some College - Likely","Unknown","","","","","","","","","","Yes","","Yes","","","Unknown","Yes","","","","","","","","","","","Latrina","Volkman","M",76.9733424470267,"(145)-271-4912",47.14245,-111.59747,"Cascade County","16N01E15B___01 Spring","Montana",30013,"30","$86000","","1-Single Family Dwelling",8,"Residential","$285300","","","","","","","","","","Democratic","Protestant","","Yes","Unknown","","","","","","",""
2056,"Mixed Gender Household","Norwegian","English/Welsh","Not Likely to have a child",9,"Likely Homeowner","Picture Perfect Families",15,"$100000-249999","Yes","","Grad Degree - Extremely Likely","Unknown","","","","","","","","","","Yes","","Unknown","","","Yes","Unknown","","","","","","","","","","","Darrell","Mueller","M",53.0416951469583,"(681)-352-9367",40.30276,-106.59782,"Grand County","Barber Basin","Colorado",8049,"8","","","",8,"Residential","$161700","","","","","","","","","","Democratic","Protestant","","Unknown","Unknown","","","","","","",""
3180,"Mixed Gender Household","English/Welsh","Likely Af-Am (Modeled)","Not Likely to have a child",9,"","",15,"$499999+","Yes","","HS Diploma - Extremely Likely","Unknown","","Yes","","Yes","","","","","","","","Yes","","","Unknown","Unknown","","","","Yes","","","Yes","","","","Columbus","Grady","M",49.0526315789474,"(485)-146-8623",37.56986,-76.35828,"Middlesex County","Deltaville","Virginia",51119,"51","","$49000","1-Single Family Dwelling",8,"Condominium","$162846","","","","","","","","","Yes","Non-Partisan","Protestant","","Yes","Unknown","","","","","","",""
4958,"Mixed Gender Household","Irish","Swedish","Not Likely to have a child",4,"Likely Homeowner","",14,"$50000-99999","","","Bach Degree - Likely","Unknown","","","","","","","","","","Yes","","Yes","","","Unknown","Unknown","","","","","","","","","","","Rickey","Koepp","M",53.1319207108681,"(179)-837-2618",43.44722,-83.84306,"Saginaw County","Buena Vista","Michigan",26145,"26","","$17000","1-Single Family Dwelling",5,"Residential","$187500","","","","","","","","","Yes","Non-Partisan","","","Unknown","Unknown","","","","","","",""
4,"Mixed Gender Household","English/Welsh","Irish","Not Likely to have a child",7,"Likely Homeowner","",17,"$25000-49999","","","Grad Degree - Extremely Likely","Skilled Trades","","","Yes","","","1 book purchase in home ","","","","","","Yes","","","Unknown","Unknown","","","","","","","","","","","Agnus","Goyette","F",54.4716336295284,"(597)-416-1753",40.15259,-77.71055,"Franklin County","Laurel Grove","Pennsylvania",42055,"42","","","1-Single Family Dwelling",8,"Residential","$128229","","","","","","1 health and fitness magazine purchase ","1 Do-It-Yourself magazine purchase ","","","Republican","Christian","Yes","Unknown","Unknown","","","","","","",""
2895,"Female Only Household","English/Welsh","Irish","Not Likely to have a child",9,"Likely Homeowner","",16,"$50000-99999","","","Grad Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes","","","Unknown","Yes","","","Yes","Yes","","Yes","Yes","","Yes","Yes","Merrie","Hoppe","F",24.688995215311,"(135)-541-2319",28.04458,-81.95489,"Polk County","Lakeland","Florida",12105,"12","","$7000","1-Single Family Dwelling",8,"Residential","$147700","","","","","","3 health and fitness magazine purchases","","","","Republican","Catholic","","Unknown","Unknown","","","","","","",""
5678,"Mixed Gender Household","English/Welsh","Irish","",7,"Likely Homeowner","",14,"$100000-249999","","","Some College - Likely","Clerical/Office","","","","","","","","","Yes","Yes","","Unknown","","","Unknown","Yes","","","","","","","","","","","Odell","Rodriguez","F",59.3793574846206,"(658)-318-8367",38.67123,-75.98383,"Talbot County","Bruceville","Maryland",24041,"24","$190000","$20000","5-9",7,"Residential","$232000","","","","","","","","","Yes","Republican","Jewish","Yes","Unknown","Unknown","","","","","","",""
2087,"Mixed Gender Household","Likely Af-Am (Modeled)","Likely Af-Am (Modeled)","Not Likely to have a child",6,"Likely Homeowner","",15,"$50000-99999","Yes","","Some College - Likely","Unknown","","","","","","","","","Yes","","","Yes","","","Unknown","Yes","","","","Yes","","","Yes","","","","Jackie","Auer","F",96.0082023239918,"(237)-139-5493",38.78428,-77.14554,"Fairfax County","Franconia","Virginia",51059,"51","$132000","$18000","",6,"Residential","$125700","","","","","","","","","","Democratic","","","Unknown","Unknown","","","","","","",""
5257,"Mixed Gender Household","French","Swedish","Known Data",0,"Likely Homeowner","",13,"$50000-99999","","","Some College - Likely","Unknown","","","Yes","","","","","","","","","Yes","","","Unknown","Unknown","","","","","","","","","","","Silas","Bruen","F",31.9972658920027,"(567)-976-8361",42.76424,-76.97191,"Ontario County","Angus","New York",36099,"36","","$13000","1-Single Family Dwelling",8,"Unknown","$242977","","","","","","1 health and fitness magazine purchase ","","","","Democratic","","","Unknown","Unknown","","","","","","",""
4325,"Male Only Household","Scots","English/Welsh","Known Data",9,"Likely Homeowner","",14,"$499999+","","","Grad Degree - Likely","Unknown","","","","Yes","","","","","","Yes","","Yes","","1 political contribution  in home","Unknown","Unknown","","","","Yes","","","Yes","","","","Clinton","Goodwin","M",95.7238550922761,"(196)-572-5816",37.14319,-80.39588,"Montgomery County","Christiansburg","Virginia",51121,"51","$356000","$12000","1-Single Family Dwelling",8,"Residential","$351900","","","","","","","","","","Republican","Catholic","","Unknown","Unknown","","","","","","",""
2300,"Male Only Household","German","English/Welsh","Modeled Not as Likely to have a child",9,"Likely Homeowner","",13,"$50000-99999","","","Some College - Likely","Unknown","","","","Yes","","5 book purchases in home","","","Yes","Yes","","Yes","","","Unknown","Yes","","","","Yes","","","Yes","","","Yes","Marcella","Bergnaum","F",99.4531784005468,"(813)-413-1429",34.25258,-102.89772,"Bailey County","Lariat Draw","Texas",48017,"48","$56000","$8000","1-Single Family Dwelling",6,"Residential","$135200","","","","","","","","","","Republican","Protestant","","Unknown","Unknown","","","","","","",""
4680,"Mixed Gender Household","English/Welsh","English/Welsh","Not Likely to have a child",9,"Likely Homeowner","Rooted Flower Power",15,"$100000-249999","","","Bach Degree - Likely","Engineering","","","Yes","Yes","","3 book purchases in home","","","Yes","","","Yes","1 religious contribution  in home","","Unknown","Yes","","","","","","","","","","Yes","Xavier","Boyer","M",51.2891319207109,"(691)-473-6325",43.57329,-70.52413,"York County","Buxton","Maine",23031,"23","","$16000","1-Single Family Dwelling",6,"Residential","$223600","","","","","","","","","Yes","Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4912,"Female Only Household","French","Swedish","Modeled Not as Likely to have a child",5,"Likely Homeowner","Aging in Place",17,"$5000-9999","","","Some College -Extremely Likely","Manufacturing","","","","","","4 book purchases in home","","","","","","Yes","","1 political contribution  in home","Unknown","Yes","","","","","","","","","","","Henriette","Funk","M",32.6124401913876,"(851)-453-6945",44.44193,-105.75723,"Campbell County","Twentymile Spring","Wyoming",56005,"56","$219000","","1-Single Family Dwelling",8,"Residential","$261300","1 family-oriented magazine purchase ","","","","","4 health and fitness magazine purchases","","","","Democratic","","","Unknown","Unknown","","","","","","",""
173,"Female Only Household","English/Welsh","English/Welsh","Modeled Likely to have a child",8,"","",12,"$50000-99999","","","Unknown","Unknown","","","","","","","","","","","","Unknown","","1 political contribution  in home","Unknown","Yes","","","","","","","","","","","Estelle","Daugherty","F",98.0232399179768,"(917)-135-3941",34.67543,-79.75923,"Marlboro County","Chavistown","South Carolina",45069,"45","","$16000","50-100",8,"Residential","$78200","","","","","","","","","","Republican","","","Unknown","Unknown","","","","","","",""
5679,"Mixed Gender Household","English/Welsh","English/Welsh","Not Likely to have a child",6,"Likely Homeowner","No Place like Home",13,"$100000-249999","Yes","","Some College -Extremely Likely","Unknown","","","","","","","","","","","","Yes","1 religious contribution  in home","","Unknown","Yes","","","","","","","","","","","Adeline","Stehr","F",86.53998632946,"(859)-571-4623",40.78281,-91.64544,"Lee County","Russellville (historical)","Iowa",19087,"19","$127000","$11000","1-Single Family Dwelling",6,"Residential","$201900","","","","","","","","","","Democratic","Protestant","","Unknown","Unknown","","","","","","",""
2415,"Mixed Gender Household","German","Scots","Not Likely to have a child",9,"Likely Homeowner","",12,"$50000-99999","Yes","","Grad Degree - Extremely Likely","Unknown","","Yes","","","","1 book purchase in home ","","","","","","Unknown","1 religious contribution  in home","1 political contribution  in home","Unknown","Yes","","","","","","","","","","","Margurite","Adams","F",65.80997949419,"(921)-254-1283",38.64457,-110.22385,"Emery County","Saucer Basin Reservoir","Utah",49015,"49","","$29000","1-Single Family Dwelling",4,"Residential","$142300","","","","","","","","","","Republican","Protestant","","Unknown","Yes","","","","","","",""
1510,"Male Only Household","Polish","Chinese","Not Likely to have a child",9,"Likely Homeowner","",13,"","Yes","","Grad Degree - Extremely Likely","Unknown","","Yes","","","","","","","","","Yes","Yes","1 religious contribution  in home","","Unknown","Yes","","","","","","","","","","","Stanton","Homenick","F",51.8031442241969,"(293)-912-6247",44.1763,-112.23082,"Clark County","Dubois","Idaho",16033,"16","$110000","","1-Single Family Dwelling",7,"Residential","$154200","1 family-oriented magazine purchase ","","","","1 culinary magazine purchase ","3 health and fitness magazine purchases","1 Do-It-Yourself magazine purchase ","1 financial magazine purchase ","","Republican","Protestant","","Unknown","Unknown","","","","","","",""
762,"Mixed Gender Household","French","English/Welsh","Modeled Likely to have a child",9,"Likely Homeowner","",16,"$25000-49999","Yes","","Bach Degree - Extremely Likely","Unknown","","","","","","","","","","Yes","","Yes","","","Unknown","Yes","","","","","","","","","","","Scottie","Borer","M",36.7573479152427,"(479)-348-4751",40.74226,-90.4593,"Warren County","Saint Augustine","Illinois",17187,"17","$256000","","1-Single Family Dwelling",7,"Residential","$247400","1 family-oriented magazine purchase ","","","","","","","","Yes","Democratic","","","Unknown","Unknown","","","","","","",""
1229,"Mixed Gender Household","Hispanic","Scots","Modeled Likely to have a child",8,"Likely Homeowner","",14,"$250000-499999","Yes","","Unknown","Clerical/Office","","","","","","2 book purchases in home","","","","","","Yes","","","Unknown","Unknown","","","","","","","","","","","Micheal","Schaefer","F",29.8619275461381,"(524)-492-3689",33.44707,-89.19507,"Choctaw County","Reform","Mississippi",28019,"28","$178000","$3000","1-Single Family Dwelling",6,"Residential","$337800","","","","","","","","","Yes","Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4380,"Mixed Gender Household","English/Welsh","English/Welsh","Not Likely to have a child",6,"Likely Homeowner","",16,"$100000-249999","","","Some College -Extremely Likely","Other","","","","","Yes","2 book purchases in home","","","","","","Yes","","","Unknown","Yes","","","","","","","","","","","Wendolyn","Schuppe","F",30.282980177717,"(587)-821-6132",39.89583,-82.8494,"Franklin County","Reynoldsburg","Ohio",39049,"39","$105000","$11000","1-Single Family Dwelling",6,"Residential","$367000","","","","","","1 health and fitness magazine purchase ","","","Yes","Democratic","Catholic","","Unknown","Unknown","","","","","","",""
5600,"Male Only Household","Swedish","German","",9,"Likely Homeowner","",16,"$50000-99999","","","Bach Degree - Extremely Likely","Unknown","","","","","","","","","Yes","","","Unknown","1 religious contribution  in home","1 political contribution  in home","Unknown","Yes","","","","","","","","","","","Lawerence","Turner","M",88.2187286397813,"(714)-687-3546",39.34066,-76.50552,"Baltimore County","Essex","Maryland",24005,"24","$160000","","1-Single Family Dwelling",8,"Residential","$323700","","","","","","","","","Yes","Republican","Catholic","","Unknown","Unknown","","","","","","",""
3119,"Mixed Gender Household","English/Welsh","English/Welsh","Modeled Not as Likely to have a child",1,"Likely Homeowner","",15,"$5000-9999","Yes","","Unknown","Unknown","","","","","","","","","","","","Unknown","","","Unknown","Unknown","","","","Yes","","","Yes","","Yes","","Cassandra","McGlynn","F",55.0704032809296,"(763)-683-7619",45.58166,-100.68875,"Corson County","J B Love Number 2 Dam","South Dakota",46031,"46","","$7000","1-Single Family Dwelling",6,"Residential","$49100","","","","","","","","","Yes","Republican","Protestant","","Unknown","Unknown","","","","","","",""
2113,"Male Only Household","","Italian","Not Likely to have a child",7,"Likely Homeowner","",13,"$100000-249999","","","Grad Degree - Extremely Likely","Unknown","","","Yes","","Yes","","","","","Yes","","Unknown","","","Unknown","Unknown","","","","","","","","","","","Lonny","Koelpin","F",60.0082023239918,"(381)-897-7196",29.94885,-82.38706,"Union County","Dana","Florida",12125,"12","","","2-Duplex",5,"Residential","$377700","","","","","","","","","","Republican","Protestant","","Unknown","Unknown","","","","","","",""
3138,"Mixed Gender Household","Hispanic","German","Modeled Not as Likely to have a child",5,"Likely Homeowner","",13,"$250000-499999","","","Bach Degree - Likely","Management","","","","","","1 book purchase in home ","","","Yes","Yes","","Yes","","","Unknown","Yes","","","","","","","","","","Yes","Roger","Lockman","M",34.4524948735475,"(413)-571-6735",39.97006,-84.19189,"Miami County","Tipp City","Ohio",39109,"39","","$8000","1-Single Family Dwelling",5,"Residential","$302300","","","","","","3 health and fitness magazine purchases","","1 financial magazine purchase ","","Democratic","","","Unknown","Yes","","","","","","",""
2661,"Mixed Gender Household","English/Welsh","German","Known Data",9,"Likely Homeowner","",16,"","Yes","","Unknown","Other","","","","","","","","","","","","Unknown","1 religious contribution  in home","1 political contribution  in home","Unknown","Unknown","","","","","","","","","","","Gloria","Effertz","M",42.0943267259057,"(879)-253-6872",44.65866,-74.15543,"Franklin County","Porcaville","New York",36033,"36","","$14000","1-Single Family Dwelling",8,"Residential","$124500","","","","","","","","","","Democratic","Protestant","Yes","Unknown","Yes","","","","","","",""
4124,"Mixed Gender Household","German","German","Not Likely to have a child",9,"Likely Homeowner","",13,"$50000-99999","Yes","","Grad Degree - Extremely Likely","Unknown","","","Yes","","","","","","Yes","Yes","","Yes","1 religious contribution  in home","","Unknown","Unknown","","","","Yes","","","Yes","","","","Randal","Heathcote","F",48.1038961038961,"(126)-271-6714",48.14965,-116.15323,"Bonner County","Clark Fork","Idaho",16017,"16","$74000","","1-Single Family Dwelling",4,"Residential","$87500","","","","","","","","","","Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
5552,"Female Only Household","Polish","Irish","Known Data",9,"Likely Homeowner","",14,"$50000-99999","","","Grad Degree - Likely","Unknown","","","","","Yes","4 book purchases in home","","","","","","Unknown","","1 political contribution  in home","Unknown","Yes","","","","","","","","","","","Rupert","Friesen","F",76.3144224196856,"(456)-869-6497",36.10454,-94.99301,"Cherokee County","Teresita","Oklahoma",40021,"40","","$14000","",5,"Residential","$112500","","","","","","","","","","Republican","Protestant","","Unknown","Unknown","","","","","","",""
1201,"Female Only Household","","Austrian","Known Data",7,"Likely Homeowner","Rooted Flower Power",15,"$50000-99999","","","Unknown","Unknown","","","","","","7 book purchases in home","","","","","","Yes","","","Unknown","Yes","","","","Yes","","","Yes","","Yes","Yes","Ray","Dare","M",45.2358168147642,"(742)-458-4397",37.31069,-75.98882,"Northampton County","Cape Charles","Virginia",51131,"51","","$16000","1-Single Family Dwelling",7,"Residential","$112500","","","","","","","","","","Democratic","Protestant","","Yes","Yes","","","","","","",""
3870,"Mixed Gender Household","English/Welsh","French","Not Likely to have a child",2,"","",14,"$25000-49999","Yes","","Grad Degree - Extremely Likely","Skilled Trades","","","","","","","","","","","","Yes","","5 political contributions in home","Unknown","Unknown","","","","","","","","","","","Evette","Muller","F",32.2488038277512,"(491)-362-6934",37.37438,-120.50325,"Merced County","Nairn (historical)","California",6047,"6","","$8000","1-Single Family Dwelling",5,"Residential","$87500","","","","","","2 health and fitness magazine purchases","","","","Democratic","Protestant","","Yes","Unknown","","","","","","",""
975,"Mixed Gender Household","English/Welsh","Scots","Known Data",9,"Likely Homeowner","",16,"","Yes","","Unknown","Unknown","","","","","","","","","","","","Yes","","","Unknown","Yes","","","","","","","","","","Yes","Magaret","Gibson","F",98.1380724538619,"(368)-137-6497",33.27131,-110.69472,"Gila County","Hole in the Rock Tank","Arizona",4021,"4","$38000","","1-Single Family Dwelling",4,"Residential","$80700","","","","","","4 health and fitness magazine purchases","1 Do-It-Yourself magazine purchase ","","","Republican","","","Unknown","Unknown","","","","","","",""
5361,"Mixed Gender Household","English/Welsh","English/Welsh","Modeled Likely to have a child",6,"Likely Homeowner","",15,"$250000-499999","Yes","","Some College - Likely","Financial Services","","","","","","","","","","Yes","","Yes","","","Unknown","Unknown","","","","","","","","","","","Consuelo","Lemke","F",65.3971291866029,"(493)-741-4381",36.15847,-80.28477,"Forsyth County","Winston-Salem","North Carolina",37067,"37","","$9000","1-Single Family Dwelling",8,"Residential","$262400","","","","","","","","","","Democratic","Protestant","","Unknown","Unknown","","","","","","",""
2517,"Mixed Gender Household","English/Welsh","German","Known Data",8,"Likely Homeowner","",13,"$499999+","","","Some College - Likely","Scientific","","","","","","","","","","Yes","","Yes","","","Unknown","Unknown","","","","","","","","","","","Christy","Runte","F",88.9213943950786,"(324)-159-1392",38.94081,-110.76516,"Emery County","Obscure Arch","Utah",49015,"49","","$27000","1-Single Family Dwelling",6,"Residential","$431600","","","","","","3 health and fitness magazine purchases","1 Do-It-Yourself magazine purchase ","","","Republican","Protestant","","Unknown","Unknown","","","","","","",""
2767,"Male Only Household","English/Welsh","English/Welsh","Not Likely to have a child",1,"","",16,"","Yes","","Unknown","Unknown","","","Yes","","","","","","","","","Yes","","","Unknown","Unknown","","","","","","","","","","","Sherly","Konopelski","F",60.1175666438824,"(825)-873-1567",35.35755,-100.37846,"Wheeler County","Magic City","Texas",48483,"48","","$8000","1-Single Family Dwelling",5,"Residential","$41249","","","","","","","","","","Republican","Protestant","","Unknown","Unknown","","","","","","",""
2629,"Mixed Gender Household","","","Not Likely to have a child",6,"Likely Homeowner","",15,"$250000-499999","","","Bach Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes","","1 political contribution  in home","Unknown","Unknown","","","","","","","","","","","Grover","Wiegand","F",51.5789473684211,"(614)-489-3671",31.60906,-84.24713,"Dougherty County","Saint Andrews","Georgia",13095,"13","$216000","$18000","1-Single Family Dwelling",5,"Residential","$285700","2 family-oriented magazine purchases","","","","","4 health and fitness magazine purchases","","","","Democratic","Protestant","","Unknown","Unknown","","","","","","",""
413,"Mixed Gender Household","","English/Welsh","Not Likely to have a child",8,"Likely Homeowner","",15,"$10000-24999","","","Grad Degree - Extremely Likely","Medical","","","","Yes","","","","","","Yes","","Yes","","1 political contribution  in home","Yes","Yes","","","Yes","","","Yes","","","","Yes","Josef","Gaylord","F",61.5803144224197,"(526)-516-9836",38.98483,-76.51857,"Anne Arundel County","Annapolis","Maryland",24003,"24","$87000","$19000","1-Single Family Dwelling",5,"Residential","$99000","1 family-oriented magazine purchase ","","","","","2 health and fitness magazine purchases","2 Do-It-Yourself magazine purchases","","","Democratic","Protestant","","Yes","Unknown","","","","","","",""
